Date;Open;High;Low;Close;Adj Close;Volume;Symbol
2006-01-02;1.49;1.49;1.47;1.48;0.982491;14567;COR.LS
2006-01-03;1.49;1.49;1.47;1.47;0.975852;7189;COR.LS
2006-01-04;1.47;1.47;1.47;1.47;0.975852;2000;COR.LS
2006-01-05;1.46;1.48;1.46;1.47;0.975852;3119;COR.LS
2006-01-06;1.47;1.47;1.45;1.46;0.9692139999999999;95193;COR.LS
2006-01-09;1.46;1.47;1.44;1.47;0.975852;100580;COR.LS
2006-01-10;1.46;1.46;1.45;1.46;0.9692139999999999;54440;COR.LS
2006-01-11;1.46;1.47;1.45;1.47;0.975852;38322;COR.LS
2006-01-12;1.46;1.47;1.46;1.47;0.975852;44000;COR.LS
2006-01-13;1.47;1.47;1.46;1.47;0.975852;8721;COR.LS
2006-01-16;1.46;1.47;1.46;1.47;0.975852;7637;COR.LS
2006-01-17;1.46;1.46;1.46;1.46;0.9692139999999999;12921;COR.LS
2006-01-18;1.46;1.47;1.46;1.47;0.975852;173711;COR.LS
2006-01-19;1.46;1.47;1.46;1.46;0.9692139999999999;35507;COR.LS
2006-01-20;1.46;1.46;1.46;1.46;0.9692139999999999;1019;COR.LS
2006-01-23;1.46;1.47;1.46;1.46;0.9692139999999999;42349;COR.LS
2006-01-24;1.46;1.47;1.46;1.46;0.9692139999999999;8705;COR.LS
2006-01-25;1.46;1.47;1.46;1.47;0.975852;44918;COR.LS
2006-01-26;1.46;1.46;1.46;1.46;0.9692139999999999;3073;COR.LS
2006-01-27;1.47;1.48;1.47;1.47;0.975852;26178;COR.LS
2006-01-30;1.48;1.48;1.48;1.48;0.982491;150;COR.LS
2006-01-31;1.48;1.48;1.47;1.47;0.975852;21200;COR.LS
2006-02-01;1.48;1.48;1.48;1.48;0.982491;6000;COR.LS
2006-02-02;1.48;1.48;1.48;1.48;0.982491;500;COR.LS
2006-02-03;1.47;1.48;1.47;1.48;0.982491;24270;COR.LS
2006-02-06;1.48;1.48;1.47;1.48;0.982491;66262;COR.LS
2006-02-07;1.47;1.48;1.47;1.47;0.975852;19664;COR.LS
2006-02-08;1.48;1.49;1.47;1.49;0.989129;103675;COR.LS
2006-02-09;1.47;1.48;1.47;1.47;0.975852;47761;COR.LS
2006-02-10;1.47;1.47;1.47;1.47;0.975852;27133;COR.LS
2006-02-13;1.47;1.47;1.47;1.47;0.975852;2415;COR.LS
2006-02-14;1.49;1.49;1.47;1.47;0.975852;4415;COR.LS
2006-02-15;1.47;1.49;1.47;1.47;0.975852;280484;COR.LS
2006-02-16;1.47;1.47;1.47;1.47;0.975852;12738;COR.LS
2006-02-17;1.49;1.49;1.47;1.47;0.975852;15337;COR.LS
2006-02-20;1.47;1.48;1.47;1.47;0.975852;10000;COR.LS
2006-02-21;1.47;1.47;1.47;1.47;0.975852;2584;COR.LS
2006-02-22;1.47;1.48;1.47;1.48;0.982491;2150;COR.LS
2006-02-23;1.48;1.48;1.48;1.48;0.982491;98620;COR.LS
2006-02-24;1.5;1.52;1.49;1.49;0.989129;92543;COR.LS
2006-02-27;1.5;1.52;1.5;1.51;1.002406;24794;COR.LS
2006-02-28;1.52;1.54;1.51;1.52;1.009044;48738;COR.LS
2006-03-01;1.55;1.56;1.52;1.52;1.009044;33983;COR.LS
2006-03-02;1.52;1.54;1.52;1.52;1.009044;25447;COR.LS
2006-03-03;1.54;1.54;1.52;1.52;1.009044;24813;COR.LS
2006-03-06;1.54;1.54;1.52;1.54;1.0223209999999998;19206;COR.LS
2006-03-07;1.53;1.54;1.52;1.54;1.0223209999999998;38661;COR.LS
2006-03-08;1.53;1.55;1.53;1.53;1.015683;7439;COR.LS
2006-03-09;1.51;1.54;1.51;1.54;1.0223209999999998;11804;COR.LS
2006-03-10;1.54;1.55;1.52;1.55;1.02896;118458;COR.LS
2006-03-13;1.55;1.55;1.54;1.54;1.0223209999999998;19569;COR.LS
2006-03-14;1.54;1.55;1.52;1.55;1.02896;21559;COR.LS
2006-03-15;1.55;1.57;1.54;1.54;1.0223209999999998;18597;COR.LS
2006-03-16;1.55;1.57;1.52;1.52;1.009044;50365;COR.LS
2006-03-17;1.53;1.55;1.53;1.53;1.015683;41869;COR.LS
2006-03-20;1.57;1.57;1.54;1.54;1.0223209999999998;32551;COR.LS
2006-03-21;1.57;1.57;1.55;1.57;1.042237;14891;COR.LS
