Date;Open;High;Low;Close;Adj Close;Volume;Symbol
2013-12-05;5.9;5.95;5.52;5.54;4.305203;38834944;CTT.LS
2013-12-06;5.58;5.59;5.51;5.53;4.297432;4286671;CTT.LS
2013-12-09;5.53;5.82;5.52;5.82;4.5227949999999995;5799700;CTT.LS
2013-12-10;5.74;5.79;5.7;5.7;4.429542;1432007;CTT.LS
2013-12-11;5.69;5.79;5.67;5.77;4.483939;1365946;CTT.LS
2013-12-12;5.75;5.76;5.71;5.74;4.460626;725192;CTT.LS
2013-12-13;5.75;5.76;5.64;5.74;4.460626;798609;CTT.LS
2013-12-16;5.73;5.74;5.68;5.74;4.460626;577978;CTT.LS
2013-12-17;5.71;5.72;5.66;5.68;4.413999;373052;CTT.LS
2013-12-18;5.69;5.7;5.65;5.65;4.390686;593693;CTT.LS
2013-12-19;5.69;5.7;5.63;5.65;4.390686;756180;CTT.LS
2013-12-20;5.62;5.68;5.6;5.62;4.367373000000001;1600582;CTT.LS
2013-12-23;5.64;5.67;5.58;5.6;4.3518300000000005;264645;CTT.LS
2013-12-24;5.6;5.6;5.57;5.59;4.344059;163237;CTT.LS
2013-12-27;5.57;5.6;5.53;5.54;4.305203;1744721;CTT.LS
2013-12-30;5.54;5.56;5.51;5.55;4.312974;1128295;CTT.LS
2013-12-31;5.53;5.59;5.53;5.59;4.344059;263532;CTT.LS
2014-01-02;5.59;5.59;5.52;5.55;4.312974;289254;CTT.LS
2014-01-03;5.56;5.71;5.53;5.71;4.437313;623158;CTT.LS
2014-01-06;5.7;5.75;5.67;5.75;4.468397;466667;CTT.LS
2014-01-07;5.73;5.87;5.7;5.8;4.5072529999999995;1135049;CTT.LS
2014-01-08;5.8;5.96;5.78;5.96;4.631591;2462056;CTT.LS
2014-01-09;5.97;6.05;5.94;6.0;4.662675;3123959;CTT.LS
2014-01-10;5.98;6.01;5.94;5.94;4.616048999999999;750281;CTT.LS
2014-01-13;5.93;6.0;5.93;5.99;4.654904;1446435;CTT.LS
2014-01-14;5.98;5.99;5.92;5.93;4.608276999999999;502337;CTT.LS
2014-01-15;5.94;6.25;5.94;6.25;4.856953;3592249;CTT.LS
2014-01-16;6.33;6.42;6.16;6.25;4.856953;2224262;CTT.LS
2014-01-17;6.23;6.55;6.16;6.55;5.0900870000000005;2748405;CTT.LS
