Date;Open;High;Low;Close;Adj Close;Volume;Symbol
2008-06-04;8.0;8.06;7.65;7.65;7.302453;47179757;EDPR.LS
2008-06-05;7.71;7.96;7.67;7.95;7.588823;10400048;EDPR.LS
2008-06-06;8.0;8.0;7.78;7.85;7.493367;4057931;EDPR.LS
2008-06-09;7.85;7.89;7.65;7.85;7.493367;2896037;EDPR.LS
2008-06-10;7.84;7.87;7.7;7.8;7.445638000000001;1361784;EDPR.LS
2008-06-11;7.84;7.87;7.51;7.65;7.302453;2537391;EDPR.LS
2008-06-12;7.65;7.75;7.33;7.75;7.39791;3906708;EDPR.LS
2008-06-13;7.72;7.75;7.58;7.75;7.39791;1469483;EDPR.LS
2008-06-16;7.75;7.8;7.59;7.8;7.445638000000001;936313;EDPR.LS
2008-06-17;7.83;7.88;7.79;7.88;7.522003999999999;918642;EDPR.LS
2008-06-18;7.9;7.9;7.68;7.81;7.455184;1585783;EDPR.LS
2008-06-19;7.8;7.86;7.72;7.81;7.455184;1176938;EDPR.LS
2008-06-20;7.85;7.85;7.6;7.75;7.39791;1468913;EDPR.LS
2008-06-23;7.78;7.78;7.65;7.75;7.39791;809987;EDPR.LS
2008-06-24;7.74;7.74;7.31;7.61;7.26427;2279289;EDPR.LS
2008-06-25;7.66;7.77;7.48;7.75;7.39791;2865899;EDPR.LS
2008-06-26;7.7;7.7;7.4;7.47;7.13063;2215853;EDPR.LS
2008-06-27;7.47;7.47;7.13;7.42;7.082902000000001;2502277;EDPR.LS
2008-06-30;7.4;7.42;7.18;7.35;7.016082000000001;2284144;EDPR.LS
2008-07-01;7.34;7.34;6.73;6.95;6.634253999999999;6373124;EDPR.LS
2008-07-02;6.92;7.09;6.76;6.94;6.624708999999999;3027732;EDPR.LS
2008-07-03;6.8;7.21;6.66;7.05;6.729711999999999;2700051;EDPR.LS
2008-07-04;7.05;7.05;6.91;6.95;6.634253999999999;691694;EDPR.LS
2008-07-07;6.91;7.14;6.91;7.07;6.748803;749041;EDPR.LS
2008-07-08;7.05;7.15;6.92;7.05;6.729711999999999;1007362;EDPR.LS
2008-07-09;7.07;7.22;7.05;7.2;6.872897;992303;EDPR.LS
