Date;Open;High;Low;Close;Adj Close;Volume;Symbol
2006-01-02;3.28;3.28;3.25;3.25;1.991252;29206;EGL.LS
2006-01-03;3.24;3.31;3.23;3.26;1.997379;585912;EGL.LS
2006-01-04;3.28;3.31;3.28;3.29;2.0157599999999998;142841;EGL.LS
2006-01-05;3.31;3.31;3.27;3.3;2.021887;63827;EGL.LS
2006-01-06;3.29;3.31;3.27;3.27;2.0035060000000002;163745;EGL.LS
2006-01-09;3.27;3.3;3.26;3.27;2.0035060000000002;128953;EGL.LS
2006-01-10;3.29;3.34;3.28;3.33;2.0402669999999996;711937;EGL.LS
2006-01-11;3.35;3.43;3.33;3.43;2.101537;604434;EGL.LS
2006-01-12;3.43;3.54;3.43;3.46;2.119918;395536;EGL.LS
2006-01-13;3.5;3.5;3.45;3.45;2.113791;264843;EGL.LS
2006-01-16;3.45;3.47;3.44;3.45;2.113791;127992;EGL.LS
2006-01-17;3.44;3.46;3.4;3.41;2.089283;70731;EGL.LS
2006-01-18;3.4;3.4;3.33;3.4;2.0831560000000002;256069;EGL.LS
2006-01-19;3.43;3.43;3.37;3.39;2.077029;102701;EGL.LS
2006-01-20;3.41;3.41;3.37;3.4;2.0831560000000002;63415;EGL.LS
2006-01-23;3.32;3.4;3.32;3.35;2.052521;51904;EGL.LS
2006-01-24;3.35;3.43;3.35;3.4;2.0831560000000002;144533;EGL.LS
2006-01-25;3.41;3.53;3.41;3.47;2.126045;221033;EGL.LS
2006-01-26;3.5;3.63;3.5;3.56;2.181187;581681;EGL.LS
2006-01-27;3.56;3.65;3.56;3.62;2.217949;155962;EGL.LS
2006-01-30;3.63;3.65;3.62;3.65;2.236329;86871;EGL.LS
2006-01-31;3.65;3.65;3.61;3.63;2.2240759999999997;645426;EGL.LS
2006-02-01;3.62;3.73;3.62;3.67;2.248583;164649;EGL.LS
2006-02-02;3.66;3.72;3.66;3.71;2.273091;206315;EGL.LS
2006-02-03;3.7;3.82;3.7;3.75;2.297599;340080;EGL.LS
2006-02-06;3.75;3.8;3.67;3.68;2.2547099999999998;233251;EGL.LS
2006-02-07;3.73;3.73;3.62;3.64;2.230203;274535;EGL.LS
2006-02-08;3.65;3.68;3.64;3.65;2.236329;231725;EGL.LS
2006-02-09;3.65;3.8;3.65;3.76;2.303725;566978;EGL.LS
2006-02-10;3.8;3.81;3.73;3.75;2.297599;488826;EGL.LS
2006-02-13;3.72;3.77;3.72;3.76;2.303725;476498;EGL.LS
2006-02-14;3.76;3.76;3.72;3.73;2.285345;256760;EGL.LS
2006-02-15;3.73;3.76;3.71;3.75;2.297599;769059;EGL.LS
2006-02-16;3.73;3.76;3.73;3.74;2.291472;152481;EGL.LS
2006-02-17;3.74;3.84;3.74;3.77;2.3098520000000002;296612;EGL.LS
