Date;Open;High;Low;Close;Adj Close;Volume;Symbol
2006-10-24;5.91;6.06;5.91;6.03;4.341175;33030671;GALP.LS
2006-10-25;6.07;6.26;6.06;6.15;4.427565;18228993;GALP.LS
2006-10-26;6.2;6.22;6.15;6.18;4.4491629999999995;9593754;GALP.LS
2006-10-27;6.19;6.19;6.0;6.05;4.355572;8511411;GALP.LS
2006-10-30;6.06;6.07;5.97;5.98;4.305177;4129365;GALP.LS
2006-10-31;6.01;6.04;5.99;5.99;4.312376;3270139;GALP.LS
2006-11-01;6.0;6.01;5.94;5.94;4.276381;1774844;GALP.LS
2006-11-02;5.94;5.94;5.82;5.87;4.2259839999999995;3175278;GALP.LS
2006-11-03;5.89;5.97;5.86;5.91;4.254782;1391551;GALP.LS
2006-11-06;5.93;5.93;5.89;5.93;4.269181;795906;GALP.LS
2006-11-07;5.95;5.96;5.93;5.94;4.276381;875751;GALP.LS
2006-11-08;5.94;5.96;5.93;5.96;4.290779;866526;GALP.LS
2006-11-09;5.95;6.03;5.95;5.96;4.290779;1149454;GALP.LS
2006-11-10;5.98;6.02;5.96;5.97;4.2979769999999995;856575;GALP.LS
2006-11-13;5.98;6.04;5.98;6.03;4.341175;1322688;GALP.LS
2006-11-14;6.03;6.13;6.03;6.12;4.405966;2298384;GALP.LS
2006-11-15;6.11;6.13;6.07;6.08;4.37717;1871613;GALP.LS
2006-11-16;6.08;6.1;6.05;6.1;4.3915690000000005;1232415;GALP.LS
2006-11-17;6.12;6.2;6.12;6.19;4.456362;4534079;GALP.LS
2006-11-20;6.16;6.19;6.15;6.19;4.456362;922529;GALP.LS
2006-11-21;6.15;6.3;6.15;6.3;4.535553;3576336;GALP.LS
2006-11-22;6.32;6.4;6.28;6.36;4.57875;2928211;GALP.LS
2006-11-23;6.35;6.4;6.35;6.35;4.571551;2191187;GALP.LS
2006-11-24;6.35;6.37;6.29;6.37;4.585948;1202330;GALP.LS
2006-11-27;6.38;6.39;6.32;6.38;4.593148;826512;GALP.LS
2006-11-28;6.35;6.39;6.34;6.37;4.585948;863506;GALP.LS
2006-11-29;6.37;6.45;6.37;6.43;4.6291459999999995;1661723;GALP.LS
2006-11-30;6.42;6.69;6.42;6.53;4.7011389999999995;3751696;GALP.LS
2006-12-01;6.56;6.58;6.5;6.5;4.67954;628556;GALP.LS
2006-12-04;6.5;6.61;6.5;6.59;4.744333999999999;1099937;GALP.LS
2006-12-05;6.6;6.79;6.6;6.79;4.888319;4081595;GALP.LS
2006-12-06;6.8;6.88;6.71;6.73;4.845123;1875971;GALP.LS
2006-12-07;6.72;6.76;6.62;6.7;4.823526;861886;GALP.LS
2006-12-08;6.7;6.7;6.65;6.66;4.794729;256908;GALP.LS
2006-12-11;6.69;6.75;6.67;6.73;4.845123;721984;GALP.LS
2006-12-12;6.74;6.78;6.71;6.76;4.866723;826675;GALP.LS
2006-12-13;6.75;6.83;6.75;6.82;4.909917;1123463;GALP.LS
2006-12-14;6.81;6.83;6.74;6.78;4.881121;1662933;GALP.LS
2006-12-15;6.77;6.9;6.75;6.89;4.960312999999999;2716282;GALP.LS
2006-12-18;6.87;6.88;6.81;6.86;4.938715;856809;GALP.LS
2006-12-19;6.86;6.89;6.82;6.87;4.945914;1270742;GALP.LS
2006-12-20;6.88;6.89;6.83;6.87;4.945914;1391371;GALP.LS
2006-12-21;6.86;6.95;6.86;6.9;4.967512;957427;GALP.LS
2006-12-22;6.89;6.93;6.89;6.92;4.98191;504260;GALP.LS
2006-12-27;6.91;6.93;6.9;6.92;4.98191;415126;GALP.LS
2006-12-28;6.9;6.94;6.9;6.93;4.98911;514705;GALP.LS
2006-12-29;6.92;6.94;6.91;6.94;4.996308;837052;GALP.LS
2007-01-02;6.91;6.94;6.89;6.91;4.974711;224059;GALP.LS
2007-01-03;6.88;6.9;6.8;6.8;4.895519999999999;841400;GALP.LS
2007-01-04;6.81;6.84;6.61;6.61;4.758733;1638766;GALP.LS
2007-01-05;6.62;6.67;6.62;6.62;4.765932;772186;GALP.LS
2007-01-08;6.64;6.65;6.61;6.62;4.765932;338901;GALP.LS
2007-01-09;6.63;6.63;6.47;6.47;4.657942;1228979;GALP.LS
2007-01-10;6.47;6.47;6.32;6.38;4.593148;2066141;GALP.LS
2007-01-11;6.35;6.52;6.29;6.52;4.6939400000000004;1292171;GALP.LS
2007-01-12;6.51;6.51;6.44;6.44;4.6363449999999995;663956;GALP.LS
2007-01-15;6.45;6.52;6.45;6.52;4.6939400000000004;436622;GALP.LS
2007-01-16;6.52;6.52;6.46;6.46;4.650743;202464;GALP.LS
2007-01-17;6.46;6.51;6.41;6.47;4.657942;437455;GALP.LS
2007-01-18;6.46;6.5;6.42;6.49;4.672341;583821;GALP.LS
2007-01-19;6.49;6.49;6.44;6.44;4.6363449999999995;838762;GALP.LS
2007-01-22;6.4;6.41;6.32;6.35;4.571551;3526642;GALP.LS
2007-01-23;6.32;6.42;6.3;6.41;4.614747;1898937;GALP.LS
2007-01-24;6.42;6.5;6.42;6.48;4.6651419999999995;2128349;GALP.LS
2007-01-25;6.48;6.49;6.43;6.46;4.650743;1052404;GALP.LS
2007-01-26;6.43;6.46;6.42;6.45;4.643543;713321;GALP.LS
2007-01-29;6.45;6.48;6.42;6.44;4.6363449999999995;1903879;GALP.LS
2007-01-30;6.43;6.45;6.42;6.43;4.6291459999999995;566950;GALP.LS
2007-01-31;6.44;6.45;6.4;6.4;4.607547;845040;GALP.LS
2007-02-01;6.4;6.43;6.37;6.41;4.614747;1869403;GALP.LS
2007-02-02;6.4;6.41;6.38;6.4;4.607547;849005;GALP.LS
2007-02-05;6.38;6.4;6.37;6.38;4.593148;627854;GALP.LS
2007-02-06;6.37;6.42;6.37;6.39;4.600348;770147;GALP.LS
2007-02-07;6.38;6.46;6.38;6.46;4.650743;1578693;GALP.LS
2007-02-08;6.45;6.68;6.45;6.59;4.744333999999999;5289602;GALP.LS
2007-02-09;6.6;6.7;6.6;6.68;4.809126999999999;3889983;GALP.LS
2007-02-12;6.7;6.79;6.68;6.79;4.888319;3575286;GALP.LS
2007-02-13;6.78;6.79;6.69;6.69;4.816326999999999;1940413;GALP.LS
2007-02-14;6.7;6.73;6.7;6.72;4.837925;1494292;GALP.LS
2007-02-15;6.71;6.75;6.69;6.75;4.859523;1329015;GALP.LS
2007-02-16;6.71;6.74;6.63;6.69;4.816326999999999;826094;GALP.LS
2007-02-19;6.68;6.69;6.63;6.67;4.801928;444736;GALP.LS
2007-02-20;6.67;6.69;6.66;6.68;4.809126999999999;217536;GALP.LS
2007-02-21;6.68;6.68;6.62;6.64;4.78033;895519;GALP.LS
2007-02-22;6.64;6.79;6.64;6.7;4.823526;2600589;GALP.LS
2007-02-23;6.79;6.94;6.77;6.92;4.98191;7868236;GALP.LS
2007-02-26;6.93;7.15;6.93;7.13;5.133097;5638949;GALP.LS
2007-02-27;7.11;7.11;6.99;7.02;5.053902;3691226;GALP.LS
2007-02-28;6.95;7.03;6.92;7.01;5.046705;2426120;GALP.LS
2007-03-01;7.01;7.25;7.01;7.2;5.183491;3651925;GALP.LS
2007-03-02;7.21;7.32;7.1;7.28;5.241086;1864070;GALP.LS
2007-03-05;7.15;7.2;7.0;7.12;5.125896;1891321;GALP.LS
