Date;Open;High;Low;Close;Adj Close;Volume;Symbol
2006-01-02;4.856;4.856;4.856;4.856;4.331164;62;IBS.LS
2006-01-03;4.856;4.856;4.8;4.8;4.281217;0;IBS.LS
2006-01-04;4.856;4.864;4.856;4.864;4.3383;1976;IBS.LS
2006-01-05;4.864;4.864;4.864;4.864;4.3383;5410;IBS.LS
2006-01-06;4.856;4.88;4.856;4.856;4.331164;22750;IBS.LS
2006-01-09;4.832;4.92;4.832;4.88;4.35257;29544;IBS.LS
2006-01-10;4.896;4.896;4.848;4.848;4.324029;0;IBS.LS
2006-01-11;4.848;4.896;4.832;4.896;4.366841;17875;IBS.LS
2006-01-12;4.92;4.92;4.92;4.92;4.388248;250;IBS.LS
2006-01-13;4.848;4.928;4.848;4.928;4.395382;6650;IBS.LS
2006-01-16;4.872;4.944;4.872;4.944;4.409653;4501;IBS.LS
2006-01-17;4.864;4.952;4.856;4.952;4.416789;67562;IBS.LS
2006-01-18;4.952;4.952;4.912;4.912;4.381113;0;IBS.LS
2006-01-19;4.952;4.952;4.912;4.912;4.381113;0;IBS.LS
2006-01-20;4.952;4.96;4.952;4.96;4.423925;1250;IBS.LS
2006-01-23;4.96;4.96;4.872;4.872;4.345435;0;IBS.LS
2006-01-24;4.96;4.96;4.92;4.92;4.388248;0;IBS.LS
2006-01-25;4.96;5.0;4.96;5.0;4.459601;14789;IBS.LS
2006-01-26;4.992;5.04;4.992;5.04;4.495278;3575;IBS.LS
2006-01-27;5.04;5.08;5.04;5.08;4.530954;1310;IBS.LS
2006-01-30;5.16;5.16;5.088;5.144;4.588038;1812;IBS.LS
2006-01-31;5.04;5.16;5.04;5.152;4.595172;9998;IBS.LS
2006-02-01;5.152;5.152;5.152;5.152;4.595172;562;IBS.LS
2006-02-02;5.152;5.192;5.144;5.192;4.6308489999999995;2272;IBS.LS
2006-02-03;5.192;5.336;5.16;5.28;4.709339;8552;IBS.LS
2006-02-06;5.344;5.344;5.336;5.336;4.759286;488;IBS.LS
2006-02-07;5.344;5.544;5.28;5.28;4.709339;53629;IBS.LS
2006-02-08;5.312;5.576;5.312;5.408;4.823504;23826;IBS.LS
2006-02-09;5.44;5.576;5.408;5.408;4.823504;16231;IBS.LS
2006-02-10;5.52;5.52;5.376;5.432;4.844912;7438;IBS.LS
2006-02-13;5.512;5.512;5.4;5.4;4.81637;0;IBS.LS
2006-02-14;5.4;5.432;5.376;5.432;4.844912;2625;IBS.LS
2006-02-15;5.376;5.432;5.376;5.432;4.844912;1125;IBS.LS
2006-02-16;5.376;5.44;5.352;5.432;4.844912;3280;IBS.LS
2006-02-17;5.24;5.4;5.24;5.4;4.81637;3838;IBS.LS
2006-02-20;5.288;5.6;5.288;5.6;4.994752;57344;IBS.LS
2006-02-21;5.584;5.6;5.584;5.6;4.994752;2125;IBS.LS
2006-02-22;5.6;5.6;5.6;5.6;4.994752;6250;IBS.LS
2006-02-23;5.6;5.6;5.6;5.6;4.994752;1576;IBS.LS
2006-02-24;5.52;5.6;5.52;5.6;4.994752;2000;IBS.LS
2006-02-27;5.616;5.64;5.48;5.6;4.994752;4000;IBS.LS
2006-02-28;5.6;5.6;5.592;5.592;4.987617;8750;IBS.LS
2006-03-01;5.592;5.592;5.592;5.592;4.987617;5000;IBS.LS
2006-03-02;5.52;5.6;5.48;5.576;4.973347;5312;IBS.LS
2006-03-03;5.552;5.6;5.552;5.576;4.973347;5500;IBS.LS
2006-03-06;5.6;5.632;5.56;5.56;4.9590760000000005;136075;IBS.LS
2006-03-07;5.568;5.6;5.568;5.6;4.994752;12625;IBS.LS
2006-03-08;5.64;5.64;5.64;5.64;5.03043;1875;IBS.LS
2006-03-09;5.64;5.64;5.64;5.64;5.03043;6250;IBS.LS
2006-03-10;5.64;5.72;5.6;5.72;5.101783;18500;IBS.LS
2006-03-13;5.6;5.72;5.6;5.72;5.101783;875;IBS.LS
2006-03-14;5.712;5.72;5.712;5.72;5.101783;2625;IBS.LS
2006-03-15;5.72;5.72;5.696;5.72;5.101783;19038;IBS.LS
2006-03-16;5.76;5.792;5.76;5.768;5.144596;22525;IBS.LS
2006-03-17;5.8;5.88;5.768;5.8;5.173138;21600;IBS.LS
2006-03-20;5.768;5.768;5.768;5.768;5.144596;5031;IBS.LS
2006-03-21;5.776;5.776;5.768;5.768;5.144596;7375;IBS.LS
2006-03-22;5.76;5.768;5.76;5.768;5.144596;13750;IBS.LS
2006-03-23;5.88;5.88;5.88;5.88;5.244491;625;IBS.LS
2006-03-24;5.744;6.0;5.744;6.0;5.351522;2800;IBS.LS
2006-03-27;6.0;6.0;6.0;6.0;5.351522;1350;IBS.LS
2006-03-28;6.0;6.0;6.0;6.0;5.351522;25250;IBS.LS
2006-03-29;6.024;6.024;6.024;6.024;5.372928;5375;IBS.LS
2006-03-30;5.976;6.0;5.976;6.0;5.351522;55592;IBS.LS
2006-03-31;6.0;6.0;6.0;6.0;5.351522;253750;IBS.LS
2006-04-03;6.08;6.08;6.08;6.08;5.422874;125;IBS.LS
2006-04-04;6.176;6.176;6.176;6.176;5.5085;4062;IBS.LS
2006-04-05;6.192;6.192;6.192;6.192;5.522769;188;IBS.LS
2006-04-06;6.4;6.4;6.4;6.4;5.70829;3750;IBS.LS
2006-04-07;6.392;6.392;6.392;6.392;5.701154;1625;IBS.LS
2006-04-10;6.392;6.392;6.392;6.392;5.701154;1875;IBS.LS
2006-04-11;6.392;6.392;6.392;6.392;5.701154;2062;IBS.LS
2006-04-12;6.36;6.36;6.36;6.36;5.672613;2376;IBS.LS
2006-04-13;6.36;6.36;6.16;6.16;5.494228;0;IBS.LS
2006-04-14;6.16;6.16;6.16;6.16;5.494228;0;IBS.LS
2006-04-17;6.16;6.16;6.16;6.16;5.494228;0;IBS.LS
2006-04-18;6.36;6.36;6.36;6.36;5.672613;1875;IBS.LS
2006-04-19;6.36;6.36;6.36;6.36;5.672613;10000;IBS.LS
2006-04-20;6.24;6.36;6.24;6.36;5.672613;15625;IBS.LS
2006-04-21;6.4;6.4;6.16;6.32;5.636935;15888;IBS.LS
2006-04-24;6.4;6.912;6.4;6.712;5.986569;27644;IBS.LS
2006-04-25;6.336;7.064;6.336;6.728;6.000839;14069;IBS.LS
2006-04-26;6.76;6.8;6.72;6.792;6.057921;19875;IBS.LS
2006-04-27;6.48;6.72;6.36;6.72;5.993703;8900;IBS.LS
2006-04-28;6.56;6.656;6.4;6.56;5.850996;38250;IBS.LS
2006-05-02;6.496;6.56;6.496;6.552;5.843861;478;IBS.LS
2006-05-03;6.552;6.624;6.552;6.624;5.90808;18306;IBS.LS
2006-05-04;6.584;6.64;6.304;6.64;5.92235;6125;IBS.LS
2006-05-05;6.624;6.64;6.552;6.552;5.843861;12250;IBS.LS
2006-05-08;6.56;6.808;6.56;6.64;5.92235;36948;IBS.LS
2006-05-09;6.76;6.8;6.632;6.8;6.0650580000000005;25625;IBS.LS
2006-05-10;6.808;6.808;6.752;6.752;6.022245;2225;IBS.LS
2006-05-11;6.8;6.808;6.744;6.744;6.01511;2288;IBS.LS
2006-05-12;6.8;6.816;6.8;6.8;6.0650580000000005;15366;IBS.LS
2006-05-15;6.76;6.76;6.656;6.656;5.98503;12625;IBS.LS
2006-05-16;6.616;6.8;6.616;6.8;6.114513;17625;IBS.LS
2006-05-17;6.632;6.76;6.616;6.696;6.020997;24062;IBS.LS
2006-05-18;6.8;6.8;6.6;6.64;5.970642;40500;IBS.LS
2006-05-19;6.56;6.752;6.56;6.56;5.898707;26814;IBS.LS
2006-05-22;6.56;6.56;6.24;6.48;5.82677;30000;IBS.LS
2006-05-23;6.4;6.48;6.4;6.464;5.812384;20375;IBS.LS
2006-05-24;6.64;6.64;6.384;6.552;5.891513;22042;IBS.LS
2006-05-25;6.28;6.52;6.28;6.4;5.754837;61630;IBS.LS
2006-05-26;6.36;6.52;6.36;6.52;5.862739;32625;IBS.LS
2006-05-29;6.4;6.44;6.4;6.44;5.7908029999999995;10375;IBS.LS
2006-05-30;6.32;6.4;6.32;6.4;5.754837;10750;IBS.LS
2006-05-31;6.304;6.472;6.304;6.472;5.819578;13188;IBS.LS
2006-06-01;6.4;6.52;6.28;6.52;5.862739;26425;IBS.LS
2006-06-02;6.4;6.424;6.4;6.424;5.776416;3375;IBS.LS
2006-06-05;6.272;6.424;6.272;6.424;5.776416;6325;IBS.LS
2006-06-06;6.304;6.4;6.304;6.4;5.754837;3138;IBS.LS
2006-06-07;6.304;6.4;6.28;6.392;5.747643;18275;IBS.LS
2006-06-08;6.4;6.4;6.272;6.4;5.754837;7375;IBS.LS
2006-06-09;6.36;6.424;6.272;6.424;5.776416;7125;IBS.LS
2006-06-12;6.36;6.424;6.272;6.424;5.776416;9312;IBS.LS
2006-06-13;6.208;6.416;6.208;6.416;5.769223;7538;IBS.LS
2006-06-14;6.2;6.352;6.2;6.352;5.7116739999999995;8294;IBS.LS
2006-06-15;6.36;6.36;6.28;6.352;5.7116739999999995;5688;IBS.LS
2006-06-16;6.2;6.352;6.2;6.32;5.6829;3425;IBS.LS
2006-06-19;6.2;6.4;6.2;6.336;5.6972879999999995;13038;IBS.LS
2006-06-20;6.376;6.376;6.336;6.336;5.6972879999999995;11750;IBS.LS
2006-06-21;6.36;6.36;6.328;6.328;5.690094;6750;IBS.LS
2006-06-22;6.48;6.48;6.328;6.328;5.690094;2025;IBS.LS
2006-06-23;6.48;6.48;6.48;6.48;5.82677;125;IBS.LS
