Date;Open;High;Low;Close;Adj Close;Volume;Symbol
2006-01-02;2.542;2.562;2.54;2.556;1.508105;574175;JMT.LS
2006-01-03;2.546;2.57;2.546;2.552;1.5057450000000001;1810600;JMT.LS
2006-01-04;2.552;2.57;2.546;2.57;1.516365;1526000;JMT.LS
2006-01-05;2.556;2.576;2.556;2.56;1.510465;1584100;JMT.LS
2006-01-06;2.56;2.564;2.55;2.56;1.510465;1367175;JMT.LS
2006-01-09;2.56;2.568;2.552;2.56;1.510465;1902600;JMT.LS
2006-01-10;2.56;2.568;2.556;2.568;1.515185;841800;JMT.LS
2006-01-11;2.566;2.63;2.564;2.62;1.545866;13176350;JMT.LS
2006-01-12;2.626;2.626;2.6;2.62;1.545866;2908850;JMT.LS
2006-01-13;2.6;2.63;2.596;2.628;1.5505870000000002;2786925;JMT.LS
2006-01-16;2.604;2.65;2.604;2.636;1.555307;4590250;JMT.LS
2006-01-17;2.648;2.65;2.606;2.612;1.541147;3192800;JMT.LS
2006-01-18;2.604;2.62;2.58;2.616;1.543507;1549150;JMT.LS
2006-01-19;2.604;2.63;2.604;2.63;1.551767;1832600;JMT.LS
2006-01-20;2.61;2.622;2.61;2.614;1.542327;745175;JMT.LS
2006-01-23;2.582;2.618;2.582;2.616;1.543507;1210200;JMT.LS
2006-01-24;2.6;2.616;2.592;2.616;1.543507;1053500;JMT.LS
2006-01-25;2.618;2.63;2.606;2.606;1.537606;1829825;JMT.LS
2006-01-26;2.606;2.62;2.602;2.602;1.5352459999999999;954350;JMT.LS
2006-01-27;2.602;2.626;2.602;2.62;1.545866;1904850;JMT.LS
2006-01-30;2.606;2.634;2.604;2.614;1.542327;1574925;JMT.LS
2006-01-31;2.61;2.634;2.61;2.618;1.5446870000000001;1228350;JMT.LS
2006-02-01;2.61;2.624;2.608;2.624;1.548227;1822225;JMT.LS
2006-02-02;2.62;2.628;2.606;2.61;1.539966;4418500;JMT.LS
2006-02-03;2.61;2.61;2.554;2.564;1.512825;30384650;JMT.LS
2006-02-06;2.562;2.586;2.562;2.58;1.522266;3567600;JMT.LS
2006-02-07;2.564;2.584;2.562;2.576;1.5199049999999998;1819475;JMT.LS
2006-02-08;2.576;2.584;2.564;2.584;1.524626;2449125;JMT.LS
2006-02-09;2.566;2.59;2.566;2.584;1.524626;2125075;JMT.LS
2006-02-10;2.588;2.588;2.578;2.578;1.5210860000000002;3128975;JMT.LS
2006-02-13;2.58;2.6;2.58;2.594;1.530526;2988825;JMT.LS
2006-02-14;2.586;2.602;2.586;2.6;1.534066;4929550;JMT.LS
2006-02-15;2.59;2.634;2.59;2.63;1.551767;3473550;JMT.LS
2006-02-16;2.622;2.634;2.614;2.634;1.554127;1291575;JMT.LS
2006-02-17;2.634;2.64;2.624;2.628;1.5505870000000002;1640625;JMT.LS
2006-02-20;2.612;2.618;2.602;2.618;1.5446870000000001;25842975;JMT.LS
2006-02-21;2.632;2.69;2.632;2.672;1.576548;13341050;JMT.LS
2006-02-22;2.662;2.686;2.66;2.674;1.577728;5679675;JMT.LS
2006-02-23;2.668;2.684;2.668;2.68;1.5812680000000001;2949000;JMT.LS
2006-02-24;2.68;2.702;2.68;2.7;1.593068;7120550;JMT.LS
2006-02-27;2.684;2.718;2.684;2.718;1.603689;3042350;JMT.LS
2006-02-28;2.718;2.73;2.71;2.73;1.6107690000000001;4771500;JMT.LS
2006-03-01;2.726;2.738;2.722;2.732;1.611949;2156425;JMT.LS
2006-03-02;2.732;2.76;2.724;2.728;1.609589;5211750;JMT.LS
2006-03-03;2.742;2.754;2.664;2.734;1.613129;2110475;JMT.LS
2006-03-06;2.754;2.796;2.742;2.76;1.62847;6597575;JMT.LS
2006-03-07;2.76;2.77;2.752;2.77;1.63437;1811750;JMT.LS
2006-03-08;2.76;2.8;2.76;2.794;1.6485310000000002;4205975;JMT.LS
2006-03-09;2.77;2.808;2.764;2.78;1.6402700000000001;3406275;JMT.LS
2006-03-10;2.77;2.78;2.764;2.768;1.63319;833475;JMT.LS
2006-03-13;2.768;2.77;2.766;2.768;1.63319;752200;JMT.LS
2006-03-14;2.768;2.792;2.766;2.78;1.6402700000000001;1817125;JMT.LS
2006-03-15;2.766;2.822;2.766;2.82;1.663872;5068750;JMT.LS
2006-03-16;2.81;2.84;2.8;2.82;1.663872;2713875;JMT.LS
2006-03-17;2.812;2.856;2.812;2.85;1.681572;5595850;JMT.LS
2006-03-20;2.824;2.878;2.824;2.876;1.6969130000000001;2806950;JMT.LS
