Date;Open;High;Low;Close;Adj Close;Volume;Symbol
2006-01-02;9.51;9.67;9.51;9.55;5.476535;77401;NOS.LS
2006-01-03;9.55;9.6;9.51;9.51;5.453598;143444;NOS.LS
2006-01-04;9.59;9.59;9.3;9.44;5.413454;389621;NOS.LS
2006-01-05;9.42;9.49;9.41;9.49;5.442126999999999;278936;NOS.LS
2006-01-06;9.51;9.7;9.44;9.7;5.562555000000001;807882;NOS.LS
2006-01-09;9.69;9.72;9.66;9.7;5.562555000000001;288101;NOS.LS
2006-01-10;9.72;9.72;9.64;9.68;5.551085;132927;NOS.LS
2006-01-11;9.69;9.82;9.65;9.82;5.6313699999999995;1038814;NOS.LS
2006-01-12;9.77;9.77;9.6;9.65;5.533881;193004;NOS.LS
2006-01-13;9.61;9.82;9.61;9.77;5.602697;158031;NOS.LS
2006-01-16;9.77;9.77;9.62;9.73;5.579758;139705;NOS.LS
2006-01-17;9.65;9.77;9.65;9.77;5.602697;54546;NOS.LS
2006-01-18;9.69;9.74;9.62;9.71;5.568288;130551;NOS.LS
2006-01-19;9.7;9.72;9.67;9.7;5.562555000000001;52489;NOS.LS
2006-01-20;9.73;9.75;9.64;9.7;5.562555000000001;203731;NOS.LS
2006-01-23;9.65;9.68;9.6;9.63;5.522412;148988;NOS.LS
2006-01-24;9.65;9.65;9.55;9.6;5.5052080000000005;121363;NOS.LS
2006-01-25;9.55;9.6;9.53;9.6;5.5052080000000005;127914;NOS.LS
2006-01-26;9.59;9.66;9.52;9.66;5.5396160000000005;177888;NOS.LS
2006-01-27;9.66;9.69;9.6;9.68;5.551085;259126;NOS.LS
2006-01-30;9.6;9.67;9.59;9.65;5.533881;46940;NOS.LS
2006-01-31;9.59;9.69;9.58;9.69;5.556819;370784;NOS.LS
2006-02-01;9.69;9.69;9.6;9.67;5.545351999999999;747367;NOS.LS
2006-02-02;9.63;9.68;9.58;9.6;5.5052080000000005;257361;NOS.LS
2006-02-03;9.6;9.66;9.6;9.61;5.510942;91468;NOS.LS
2006-02-06;9.61;9.66;9.61;9.62;5.516678;182414;NOS.LS
2006-02-07;9.69;9.97;9.41;9.9;5.677246;2677363;NOS.LS
2006-02-08;9.89;10.05;9.83;9.93;5.69445;553315;NOS.LS
2006-02-09;9.93;10.06;9.93;9.96;5.711654;360646;NOS.LS
2006-02-10;9.98;9.98;9.86;9.88;5.6657779999999995;132936;NOS.LS
2006-02-13;9.88;9.94;9.85;9.9;5.677246;130895;NOS.LS
2006-02-14;9.9;9.99;9.9;9.97;5.717388;149094;NOS.LS
2006-02-15;9.99;10.19;9.97;10.16;5.826345;701621;NOS.LS
2006-02-16;10.18;10.32;10.18;10.29;5.9008959999999995;451815;NOS.LS
2006-02-17;10.3;10.3;10.1;10.28;5.895162;365924;NOS.LS
2006-02-20;10.27;10.27;10.16;10.26;5.883691000000001;101009;NOS.LS
2006-02-21;10.26;10.45;10.26;10.4;5.963975;427857;NOS.LS
2006-02-22;10.4;10.45;10.33;10.39;5.958242;171239;NOS.LS
2006-02-23;10.4;10.48;10.37;10.44;5.986915;156715;NOS.LS
2006-02-24;10.45;10.45;10.38;10.41;5.969712;47811;NOS.LS
2006-02-27;10.41;10.41;10.23;10.31;5.912365;220424;NOS.LS
2006-02-28;10.27;10.3;10.17;10.17;5.832081;282797;NOS.LS
2006-03-01;10.16;10.23;10.15;10.21;5.855018;175408;NOS.LS
2006-03-02;10.21;10.24;10.15;10.17;5.832081;381872;NOS.LS
2006-03-03;10.28;10.35;10.18;10.35;5.935303;498208;NOS.LS
2006-03-06;10.35;10.65;10.35;10.6;6.078668;600929;NOS.LS
2006-03-07;10.61;10.61;10.45;10.54;6.0442599999999995;142888;NOS.LS
2006-03-08;10.48;10.57;10.39;10.4;5.963975;215477;NOS.LS
