Date;Open;High;Low;Close;Adj Close;Volume;Symbol
2006-01-02;8.53;8.57;8.53;8.54;3.3664660000000004;359662;PHR.LS
2006-01-03;8.51;8.77;8.51;8.75;3.449249;5128303;PHR.LS
2006-01-04;8.79;8.9;8.79;8.87;3.496552;5089665;PHR.LS
2006-01-05;8.83;8.92;8.79;8.81;3.4729010000000002;5515877;PHR.LS
2006-01-06;8.77;8.83;8.68;8.74;3.4453050000000003;4169725;PHR.LS
2006-01-09;8.72;8.78;8.61;8.76;3.45319;4924087;PHR.LS
2006-01-10;8.78;8.78;8.65;8.67;3.4177120000000003;2346490;PHR.LS
2006-01-11;8.68;8.73;8.63;8.69;3.425596;3516682;PHR.LS
2006-01-12;8.61;8.65;8.48;8.48;3.3428139999999997;7294911;PHR.LS
2006-01-13;8.52;8.61;8.49;8.52;3.358582;5044624;PHR.LS
2006-01-16;8.58;8.65;8.55;8.64;3.405886;2594539;PHR.LS
2006-01-17;8.59;8.62;8.5;8.5;3.3506980000000004;5205628;PHR.LS
2006-01-18;8.4;8.47;8.35;8.41;3.3152199999999996;5627351;PHR.LS
2006-01-19;8.49;8.53;8.32;8.38;3.3033940000000004;4198962;PHR.LS
2006-01-20;8.4;8.43;8.23;8.24;3.248206;4369744;PHR.LS
2006-01-23;8.2;8.36;8.13;8.3;3.271859;4279829;PHR.LS
2006-01-24;8.38;8.4;8.17;8.25;3.252148;3424288;PHR.LS
2006-01-25;8.26;8.27;8.15;8.17;3.220612;3585418;PHR.LS
2006-01-26;8.2;8.27;8.17;8.17;3.220612;3437980;PHR.LS
2006-01-27;8.21;8.24;8.13;8.13;3.204844;2788769;PHR.LS
2006-01-30;8.14;8.24;8.1;8.24;3.248206;2110281;PHR.LS
2006-01-31;8.22;8.3;8.17;8.26;3.25609;5117315;PHR.LS
2006-02-01;8.29;8.37;8.27;8.37;3.2994519999999996;3753456;PHR.LS
2006-02-02;8.38;8.44;8.08;8.09;3.189077;9579592;PHR.LS
2006-02-03;8.11;8.2;8.04;8.2;3.232438;7587782;PHR.LS
2006-02-06;8.19;8.22;8.1;8.18;3.224555;3380508;PHR.LS
2006-02-07;10.0;10.0;9.51;9.69;3.8197949999999996;82651845;PHR.LS
2006-02-08;9.75;9.9;9.67;9.7;3.8237379999999996;31168631;PHR.LS
2006-02-09;9.72;9.77;9.57;9.58;3.7764339999999996;17782801;PHR.LS
2006-02-10;9.6;9.63;9.56;9.61;3.7882599999999997;11851346;PHR.LS
2006-02-13;9.61;9.66;9.57;9.57;3.7724919999999997;10258354;PHR.LS
2006-02-14;9.59;9.73;9.59;9.71;3.8276800000000004;21893935;PHR.LS
2006-02-15;9.72;9.82;9.71;9.76;3.8473900000000003;8052767;PHR.LS
2006-02-16;9.77;9.82;9.71;9.79;3.8592150000000003;6894403;PHR.LS
2006-02-17;9.8;9.9;9.76;9.76;3.8473900000000003;14008429;PHR.LS
2006-02-20;9.76;9.8;9.69;9.79;3.8592150000000003;2543882;PHR.LS
2006-02-21;9.76;9.83;9.72;9.75;3.8434489999999997;6037608;PHR.LS
2006-02-22;9.73;9.78;9.71;9.74;3.8395059999999996;5338446;PHR.LS
2006-02-23;9.74;9.77;9.72;9.72;3.8316220000000003;10741912;PHR.LS
2006-02-24;9.74;9.76;9.72;9.75;3.8434489999999997;9347548;PHR.LS
2006-02-27;9.75;9.76;9.71;9.75;3.8434489999999997;3497517;PHR.LS
2006-02-28;9.75;9.75;9.7;9.7;3.8237379999999996;8085011;PHR.LS
2006-03-01;9.73;9.73;9.66;9.7;3.8237379999999996;16556647;PHR.LS
2006-03-02;9.69;9.74;9.69;9.7;3.8237379999999996;7580742;PHR.LS
2006-03-03;9.71;9.79;9.71;9.74;3.8395059999999996;12707241;PHR.LS
2006-03-06;9.75;9.88;9.74;9.88;3.8946940000000003;13057604;PHR.LS
2006-03-07;9.9;9.94;9.77;9.84;3.878925;7176677;PHR.LS
2006-03-08;9.82;9.89;9.82;9.86;3.8868099999999997;13132252;PHR.LS
2006-03-09;9.88;9.88;9.8;9.81;3.8671;2919184;PHR.LS
2006-03-10;9.97;10.03;9.85;9.87;3.8907510000000003;10140316;PHR.LS
2006-03-13;9.91;10.08;9.91;10.06;3.96565;11375840;PHR.LS
2006-03-14;10.05;10.08;9.98;10.03;3.953824;8495674;PHR.LS
2006-03-15;10.03;10.1;10.03;10.07;3.969592;5212268;PHR.LS
2006-03-16;10.07;10.1;10.05;10.08;3.9735339999999995;2895498;PHR.LS
2006-03-17;10.1;10.1;10.05;10.06;3.96565;3649900;PHR.LS
2006-03-20;10.06;10.11;10.06;10.1;3.981418;3680811;PHR.LS
2006-03-21;10.08;10.15;10.07;10.15;4.001128;4205577;PHR.LS
2006-03-22;10.11;10.44;10.09;10.29;4.056316000000001;9822640;PHR.LS
