Date;Open;High;Low;Close;Adj Close;Volume;Symbol
2008-07-08;1.15;1.38;1.15;1.285;0.6060439999999999;72754;RAM.LS
2008-07-09;1.285;1.32;1.24;1.24;0.58482;107963;RAM.LS
2008-07-10;1.23;1.295;1.18;1.21;0.5706720000000001;44044;RAM.LS
2008-07-11;1.23;1.23;1.155;1.19;0.561239;40164;RAM.LS
2008-07-14;1.14;1.17;1.1;1.12;0.528225;46140;RAM.LS
2008-07-15;1.1;1.1;0.92;0.96;0.45276400000000006;83572;RAM.LS
2008-07-16;1.02;1.12;1.0;1.12;0.528225;69366;RAM.LS
2008-07-17;1.15;1.165;1.125;1.145;0.5400159999999999;54586;RAM.LS
2008-07-18;1.16;1.17;1.11;1.11;0.523509;42393;RAM.LS
2008-07-21;1.1;1.135;1.08;1.12;0.528225;74156;RAM.LS
2008-07-22;1.1;1.12;1.06;1.08;0.50936;56440;RAM.LS
2008-07-23;1.1;1.145;1.095;1.13;0.532941;62785;RAM.LS
2008-07-24;1.13;1.14;1.11;1.13;0.532941;25984;RAM.LS
2008-07-25;1.11;1.15;1.11;1.125;0.530583;25584;RAM.LS
2008-07-28;1.15;1.16;1.12;1.12;0.528225;48226;RAM.LS
2008-07-29;1.14;1.15;1.13;1.13;0.532941;4462;RAM.LS
2008-07-30;1.13;1.13;1.13;1.13;0.532941;10615;RAM.LS
2008-07-31;1.12;1.13;1.12;1.13;0.532941;16231;RAM.LS
2008-08-01;1.12;1.12;1.115;1.115;0.525867;7524;RAM.LS
2008-08-04;1.12;1.13;1.12;1.13;0.532941;2927;RAM.LS
2008-08-05;1.13;1.13;1.13;1.13;0.532941;9656;RAM.LS
2008-08-06;1.13;1.14;1.115;1.14;0.5376569999999999;13043;RAM.LS
2008-08-07;1.14;1.14;1.11;1.12;0.528225;3924;RAM.LS
2008-08-08;1.11;1.13;1.11;1.12;0.528225;11206;RAM.LS
2008-08-11;1.11;1.13;1.11;1.12;0.528225;8751;RAM.LS
2008-08-12;1.12;1.13;1.11;1.11;0.523509;5116;RAM.LS
2008-08-13;1.11;1.13;1.09;1.09;0.514076;25087;RAM.LS
2008-08-14;1.09;1.09;1.09;1.09;0.514076;9617;RAM.LS
2008-08-15;1.08;1.09;1.065;1.075;0.5070020000000001;6357;RAM.LS
2008-08-18;1.06;1.095;1.06;1.075;0.5070020000000001;20589;RAM.LS
2008-08-19;1.07;1.075;1.05;1.06;0.49992700000000007;10209;RAM.LS
2008-08-20;1.06;1.06;1.0;1.0;0.471629;26270;RAM.LS
2008-08-21;1.0;1.07;1.0;1.06;0.49992700000000007;32701;RAM.LS
2008-08-22;1.01;1.03;1.01;1.01;0.476346;12708;RAM.LS
2008-08-25;1.03;1.045;0.995;1.045;0.492853;47401;RAM.LS
2008-08-26;1.02;1.035;1.0;1.025;0.48341999999999996;23916;RAM.LS
2008-08-27;1.0;1.015;1.0;1.005;0.473988;20458;RAM.LS
2008-08-28;1.025;1.12;0.995;1.09;0.514076;103547;RAM.LS
2008-08-29;1.07;1.13;1.05;1.1;0.518792;69018;RAM.LS
2008-09-01;1.075;1.169;1.075;1.1;0.518792;30285;RAM.LS
2008-09-02;1.083;1.1;1.083;1.1;0.518792;14962;RAM.LS
2008-09-03;1.076;1.105;1.076;1.1;0.518792;64270;RAM.LS
2008-09-04;1.09;1.1;1.08;1.083;0.510775;137048;RAM.LS
2008-09-05;1.082;1.09;1.08;1.09;0.514076;37705;RAM.LS
2008-09-08;1.09;1.12;1.08;1.091;0.514548;28645;RAM.LS
2008-09-09;1.091;1.119;1.091;1.091;0.514548;2212;RAM.LS
2008-09-10;1.091;1.091;1.08;1.081;0.509831;8610;RAM.LS
2008-09-11;1.081;1.121;1.081;1.121;0.528697;18479;RAM.LS
2008-09-12;1.12;1.14;1.084;1.121;0.528697;68683;RAM.LS
2008-09-15;1.121;1.121;1.073;1.091;0.514548;25404;RAM.LS
2008-09-16;1.07;1.15;1.07;1.15;0.542374;39592;RAM.LS
2008-09-17;1.095;1.1;1.095;1.099;0.518321;27950;RAM.LS
2008-09-18;1.095;1.095;1.061;1.063;0.501342;8607;RAM.LS
2008-09-19;1.063;1.1;1.062;1.062;0.5008699999999999;18804;RAM.LS
2008-09-22;1.072;1.08;1.072;1.08;0.50936;4820;RAM.LS
2008-09-23;1.088;1.088;1.074;1.074;0.50653;7688;RAM.LS
2008-09-24;1.08;1.098;1.07;1.085;0.511718;12225;RAM.LS
2008-09-25;1.081;1.1;1.081;1.081;0.509831;5521;RAM.LS
2008-09-26;1.091;1.12;1.05;1.06;0.49992700000000007;230648;RAM.LS
2008-09-29;1.04;1.04;0.99;1.02;0.481062;40925;RAM.LS
2008-09-30;1.0;1.0;0.924;0.924;0.43578599999999995;67083;RAM.LS
2008-10-01;0.98;1.01;0.93;0.93;0.438615;23977;RAM.LS
2008-10-02;0.94;0.94;0.9;0.905;0.426825;40574;RAM.LS
2008-10-03;0.939;0.94;0.939;0.94;0.44333199999999995;4667;RAM.LS
2008-10-06;0.97;0.97;0.82;0.84;0.396169;10269;RAM.LS
2008-10-07;0.8;0.8;0.615;0.772;0.364098;27124;RAM.LS
2008-10-08;0.75;0.9;0.75;0.763;0.35985300000000003;13536;RAM.LS
2008-10-09;0.763;0.765;0.76;0.765;0.360797;13393;RAM.LS
2008-10-10;0.76;0.766;0.65;0.665;0.313634;46346;RAM.LS
2008-10-13;0.71;0.8;0.71;0.78;0.367871;87980;RAM.LS
2008-10-14;0.78;0.98;0.78;0.87;0.410318;31946;RAM.LS
2008-10-15;0.793;0.85;0.75;0.75;0.353722;58909;RAM.LS
2008-10-16;0.769;0.769;0.66;0.72;0.339573;37931;RAM.LS
2008-10-17;0.848;0.848;0.74;0.75;0.353722;14973;RAM.LS
2008-10-20;0.75;0.77;0.715;0.77;0.363155;4474;RAM.LS
2008-10-21;0.798;0.798;0.74;0.77;0.363155;31773;RAM.LS
2008-10-22;0.732;0.732;0.712;0.712;0.3358;16200;RAM.LS
2008-10-23;0.711;0.73;0.668;0.73;0.344289;7513;RAM.LS
2008-10-24;0.72;0.72;0.69;0.7;0.33014099999999996;26779;RAM.LS
2008-10-27;0.65;0.73;0.65;0.73;0.344289;9455;RAM.LS
2008-10-28;0.7;0.7;0.7;0.7;0.33014099999999996;4650;RAM.LS
2008-10-29;0.75;0.83;0.713;0.77;0.363155;12607;RAM.LS
2008-10-30;0.75;0.79;0.75;0.79;0.372587;31177;RAM.LS
2008-10-31;0.723;0.79;0.723;0.79;0.372587;4935;RAM.LS
2008-11-03;0.69;0.79;0.69;0.79;0.372587;18709;RAM.LS
2008-11-04;0.78;0.829;0.76;0.829;0.39098099999999997;8863;RAM.LS
2008-11-05;0.7;0.821;0.7;0.788;0.37164400000000003;7375;RAM.LS
2008-11-06;0.8;0.85;0.74;0.74;0.349006;15610;RAM.LS
2008-11-07;0.76;0.8;0.73;0.8;0.377304;17171;RAM.LS
2008-11-10;0.752;0.894;0.752;0.82;0.386736;26227;RAM.LS
2008-11-11;0.819;0.819;0.77;0.815;0.384378;2489;RAM.LS
2008-11-12;0.762;0.81;0.73;0.8;0.377304;29276;RAM.LS
2008-11-13;0.755;0.8;0.755;0.76;0.35843800000000003;26924;RAM.LS
2008-11-14;0.78;0.78;0.76;0.76;0.35843800000000003;10570;RAM.LS
