Date;Open;High;Low;Close;Adj Close;Volume;Symbol
2006-01-02;6.81;6.81;6.79;6.8;4.315466000000001;31093;SEM.LS
2006-01-03;6.85;6.93;6.82;6.87;4.35989;180420;SEM.LS
2006-01-04;6.88;6.92;6.87;6.9;4.378928;326127;SEM.LS
2006-01-05;6.91;7.05;6.88;7.0;4.442391000000001;574824;SEM.LS
2006-01-06;7.03;7.07;7.0;7.05;4.4741230000000005;923716;SEM.LS
2006-01-09;7.14;7.35;7.07;7.32;4.645473;1340133;SEM.LS
2006-01-10;7.35;7.69;7.35;7.58;4.810475;2057448;SEM.LS
2006-01-11;7.63;7.69;7.52;7.67;4.867591;994975;SEM.LS
2006-01-12;7.69;7.8;7.63;7.65;4.854898;1077826;SEM.LS
2006-01-13;7.73;7.73;7.5;7.57;4.804129;100574;SEM.LS
2006-01-16;7.65;7.65;7.5;7.58;4.810475;409543;SEM.LS
2006-01-17;7.6;7.6;7.46;7.5;4.759705;454382;SEM.LS
2006-01-18;7.45;7.45;7.37;7.42;4.708934999999999;323473;SEM.LS
2006-01-19;7.5;7.55;7.46;7.5;4.759705;232400;SEM.LS
2006-01-20;7.5;7.54;7.43;7.53;4.778743;179135;SEM.LS
2006-01-23;7.43;7.51;7.43;7.46;4.734319;90161;SEM.LS
2006-01-24;7.45;7.49;7.42;7.45;4.727973;89977;SEM.LS
2006-01-25;7.45;7.5;7.43;7.5;4.759705;139288;SEM.LS
2006-01-26;7.5;7.53;7.45;7.53;4.778743;79204;SEM.LS
2006-01-27;7.54;7.58;7.53;7.58;4.810475;271032;SEM.LS
2006-01-30;7.6;7.6;7.49;7.49;4.753358;46465;SEM.LS
2006-01-31;7.55;7.55;7.44;7.45;4.727973;107388;SEM.LS
2006-02-01;7.45;7.53;7.45;7.53;4.778743;102860;SEM.LS
2006-02-02;7.46;7.53;7.46;7.5;4.759705;53640;SEM.LS
2006-02-03;7.45;7.49;7.45;7.48;4.747012000000001;36408;SEM.LS
2006-02-06;7.48;7.5;7.45;7.48;4.747012000000001;301905;SEM.LS
2006-02-07;7.44;7.5;7.44;7.44;4.7216260000000005;263361;SEM.LS
2006-02-08;7.42;7.43;7.36;7.38;4.68355;304426;SEM.LS
2006-02-09;7.38;7.39;7.36;7.37;4.677204;111670;SEM.LS
2006-02-10;7.45;7.45;7.37;7.37;4.677204;67114;SEM.LS
2006-02-13;7.4;7.4;7.3;7.3;4.63278;118174;SEM.LS
2006-02-14;7.3;7.31;7.27;7.28;4.620087;271529;SEM.LS
2006-02-15;7.3;7.33;7.29;7.29;4.6264330000000005;127436;SEM.LS
2006-02-16;7.29;7.41;7.29;7.39;4.689896;463633;SEM.LS
2006-02-17;7.42;7.49;7.41;7.49;4.753358;419831;SEM.LS
2006-02-20;7.51;7.75;7.51;7.74;4.912015;718738;SEM.LS
2006-02-21;7.75;8.14;7.75;8.09;5.134135;1537158;SEM.LS
2006-02-22;8.08;8.08;7.84;7.98;5.064326;466540;SEM.LS
2006-02-23;7.98;8.26;7.98;8.25;5.235675;747519;SEM.LS
2006-02-24;8.27;8.68;8.26;8.55;5.426063;1209993;SEM.LS
2006-02-27;8.56;8.75;8.4;8.46;5.368947;742755;SEM.LS
2006-02-28;8.5;8.5;8.3;8.33;5.286445;194394;SEM.LS
2006-03-01;8.33;8.46;8.33;8.38;5.318176;188180;SEM.LS
2006-03-02;8.33;8.36;8.2;8.25;5.235675;334869;SEM.LS
2006-03-03;8.27;8.33;8.2;8.2;5.203944;153356;SEM.LS
2006-03-06;8.32;8.32;8.21;8.25;5.235675;127399;SEM.LS
2006-03-07;8.24;8.27;8.21;8.21;5.2102900000000005;91691;SEM.LS
2006-03-08;8.28;8.35;8.22;8.35;5.299138;366121;SEM.LS
2006-03-09;8.33;8.35;8.28;8.35;5.299138;196726;SEM.LS
2006-03-10;8.35;8.39;8.32;8.39;5.324523;69517;SEM.LS
2006-03-13;8.39;8.45;8.33;8.42;5.343562;104185;SEM.LS
2006-03-14;8.36;8.4;8.28;8.3;5.267407;86139;SEM.LS
2006-03-15;8.28;8.36;8.23;8.34;5.2927919999999995;118312;SEM.LS
2006-03-16;8.35;8.42;8.33;8.42;5.343562;174816;SEM.LS
2006-03-17;8.42;8.5;8.37;8.47;5.375294;115468;SEM.LS
2006-03-20;8.45;8.45;8.26;8.28;5.254715;361682;SEM.LS
2006-03-21;8.29;8.29;8.24;8.27;5.248368;154375;SEM.LS
2006-03-22;8.27;8.3;8.26;8.3;5.267407;47870;SEM.LS
2006-03-23;8.3;8.54;8.3;8.54;5.4197169999999995;842532;SEM.LS
2006-03-24;8.55;8.84;8.52;8.7;5.521256;561166;SEM.LS
2006-03-27;8.8;8.9;8.65;8.9;5.648184;567386;SEM.LS
2006-03-28;8.85;8.92;8.8;8.86;5.622797;155712;SEM.LS
2006-03-29;8.78;8.85;8.64;8.85;5.6164510000000005;396611;SEM.LS
2006-03-30;8.85;8.92;8.7;8.7;5.521256;304953;SEM.LS
2006-03-31;8.75;8.89;8.75;8.76;5.559336;110845;SEM.LS
2006-04-03;8.87;8.9;8.8;8.83;5.603758999999999;187970;SEM.LS
2006-04-04;8.85;8.9;8.8;8.8;5.58472;204404;SEM.LS
2006-04-05;8.85;8.86;8.82;8.83;5.603758999999999;162695;SEM.LS
2006-04-06;8.83;8.91;8.83;8.91;5.654529;368463;SEM.LS
2006-04-07;8.91;9.1;8.91;9.0;5.711645;443035;SEM.LS
2006-04-10;9.02;9.12;9.02;9.1;5.775109;264224;SEM.LS
2006-04-11;9.12;9.25;9.12;9.2;5.83857;594672;SEM.LS
2006-04-12;9.25;9.25;9.15;9.18;5.8258790000000005;90987;SEM.LS
2006-04-13;9.19;9.2;9.15;9.19;5.832225;51947;SEM.LS
2006-04-18;9.19;9.31;9.17;9.26;5.876649;499035;SEM.LS
2006-04-19;9.3;9.41;9.3;9.39;5.959151;723040;SEM.LS
2006-04-20;9.41;9.42;9.31;9.36;5.940112;218620;SEM.LS
2006-04-21;9.36;9.38;9.33;9.36;5.940112;272743;SEM.LS
2006-04-24;8.11;8.98;8.11;8.9;5.9135349999999995;141227;SEM.LS
2006-04-25;8.91;9.1;8.91;9.1;6.046422;177434;SEM.LS
2006-04-26;9.1;9.15;9.06;9.15;6.079644;405815;SEM.LS
2006-04-27;9.15;9.19;9.0;9.0;5.979978;83519;SEM.LS
2006-04-28;9.0;9.0;8.85;8.88;5.900246;101359;SEM.LS
2006-05-02;8.85;8.92;8.11;8.92;5.926823000000001;164975;SEM.LS
2006-05-03;8.71;8.92;8.71;8.81;5.853733999999999;90227;SEM.LS
2006-05-04;8.74;8.83;8.68;8.78;5.833801;101093;SEM.LS
2006-05-05;8.78;8.81;8.7;8.7;5.780645;62544;SEM.LS
2006-05-08;8.7;8.8;8.7;8.73;5.800579;40352;SEM.LS
2006-05-09;8.7;8.8;8.7;8.75;5.813868;67245;SEM.LS
2006-05-10;8.75;8.85;8.73;8.78;5.833801;110170;SEM.LS
2006-05-11;8.84;8.84;8.72;8.74;5.8072230000000005;79754;SEM.LS
2006-05-12;8.75;8.75;8.41;8.46;5.621180000000001;103279;SEM.LS
2006-05-15;8.61;8.61;8.22;8.45;5.614535;256334;SEM.LS
2006-05-16;8.35;8.5;8.34;8.34;5.541447;164607;SEM.LS
2006-05-17;8.34;8.37;8.11;8.14;5.408558;304615;SEM.LS
2006-05-18;8.09;8.18;7.95;8.1;5.381981;190469;SEM.LS
2006-05-19;7.98;8.25;7.98;8.15;5.415203;358099;SEM.LS
2006-05-22;8.15;8.15;7.89;7.89;5.242447;126494;SEM.LS
2006-05-23;7.8;8.16;7.8;7.8;5.182647;248704;SEM.LS
2006-05-24;8.02;8.02;7.76;7.86;5.222514;480683;SEM.LS
2006-05-25;7.9;7.91;7.86;7.88;5.235803;76248;SEM.LS
2006-05-26;7.91;7.99;7.85;7.85;5.21587;228226;SEM.LS
2006-05-29;7.91;8.0;7.91;8.0;5.315536;33501;SEM.LS
2006-05-30;8.05;8.15;8.04;8.07;5.3620470000000005;122781;SEM.LS
2006-05-31;8.14;8.15;8.04;8.15;5.415203;301000;SEM.LS
2006-06-01;8.2;8.38;8.15;8.25;5.481647;137348;SEM.LS
2006-06-02;8.47;8.47;8.35;8.4;5.5813120000000005;253868;SEM.LS
2006-06-05;8.5;8.5;8.41;8.46;5.621180000000001;50914;SEM.LS
2006-06-06;8.4;8.4;8.27;8.33;5.534802;178266;SEM.LS
2006-06-07;8.38;8.46;8.38;8.44;5.60789;125453;SEM.LS
2006-06-08;8.44;8.44;8.35;8.42;5.594601;73746;SEM.LS
2006-06-09;8.4;8.59;8.4;8.57;5.694267;188807;SEM.LS
2006-06-12;8.58;8.59;8.47;8.51;5.654401999999999;71613;SEM.LS
2006-06-13;8.54;8.54;8.25;8.32;5.528157;129344;SEM.LS
2006-06-14;8.44;8.45;8.29;8.34;5.541447;150427;SEM.LS
2006-06-15;8.4;8.4;8.22;8.34;5.541447;165056;SEM.LS
2006-06-16;8.4;8.4;8.27;8.28;5.501580000000001;16872;SEM.LS
2006-06-19;8.32;8.4;8.23;8.28;5.501580000000001;44476;SEM.LS
2006-06-20;8.21;8.3;8.16;8.24;5.475002;39128;SEM.LS
2006-06-21;8.17;8.3;8.17;8.25;5.481647;17480;SEM.LS
2006-06-22;8.21;8.3;8.21;8.23;5.468358;35340;SEM.LS
2006-06-23;8.23;8.3;8.23;8.28;5.501580000000001;39150;SEM.LS
2006-06-26;8.26;8.3;8.23;8.29;5.508224;22925;SEM.LS
2006-06-27;8.29;8.29;8.25;8.25;5.481647;14234;SEM.LS
2006-06-28;8.28;8.28;8.19;8.25;5.481647;134654;SEM.LS
2006-06-29;8.26;8.26;8.18;8.2;5.448424;53561;SEM.LS
2006-06-30;8.25;8.3;8.2;8.25;5.481647;80518;SEM.LS
2006-07-03;8.3;8.3;8.19;8.25;5.481647;64683;SEM.LS
2006-07-04;8.28;8.28;8.19;8.22;5.461713;25322;SEM.LS
2006-07-05;8.18;8.21;8.13;8.15;5.415203;31652;SEM.LS
